0200,WIL,0.0009669935
0201,AYT,0.0009642887
0202,TAO,0.0009613341
0203,OPO,0.0009548183
0204,CHC,0.0009547485
0205,KHI,0.0009511592
0206,MED,0.0009481386
0207,SSA,0.0009437109
0208,DAC,0.0009413848
0209,YXL,0.0009399860
0210,SXF,0.0009396846
0211,ALA,0.0009376542
0212,BLR,0.0009363001
0213,NGO,0.0009305755
0214,CMB,0.0009279885
0215,CGO,0.0009168923
0216,ABV,0.0009126651
0217,NKG,0.0009062350
0218,RGN,0.0009054873
0219,JUV,0.0009046192
0220,POA,0.0008985383
0221,CTS,0.0008932726
0222,TSN,0.0008844428
0223,GDL,0.0008840671
0224,YWG,0.0008792836
0225,BSL,0.0008782800
0226,BNA,0.0008745211
0227,BGO,0.0008729191
0228,UIO,0.0008722221
0229,BLQ,0.0008703708
0230,PSA,0.0008686163
0231,CVG,0.0008644186
0232,BKI,0.0008637903
0233,HOU,0.0008622291
0234,AKN,0.0008618627
0235,CGH,0.0008446654
0236,FAO,0.0008352298
0237,MAA,0.0008333713
0238,KWE,0.0008331532
0239,MCI,0.0008328963
0240,EIN,0.0008294785
0241,FUK,0.0008281516
0242,NAY,0.0008257729
0243,MYY,0.0008224282
0244,AZA,0.0008206739
0245,SKG,0.0008192193
0246,YHZ,0.0008154437
0247,PUJ,0.0008146350
0248,FIH,0.0008142926
0249,HER,0.0008103266
0250,MAO,0.0008103109
0251,ISB,0.0008070231
0252,LCA,0.0008056639
0253,LPB,0.0008021646
0254,DRW,0.0007998890
0255,FOC,0.0007975666
0256,CWB,0.0007953667
0257,BVA,0.0007923258
0258,IKT,0.0007917283
0259,NTE,0.0007908972
0260,TLS,0.0007844279
0261,CJU,0.0007841551
0262,VLC,0.0007805343
0263,BEG,0.0007799478
0264,CGB,0.0007793700
0265,EMA,0.0007791338
0266,BAH,0.0007785439
0267,NNG,0.0007784618
0268,SUB,0.0007774290
0269,TYN,0.0007761285
0270,ANI,0.0007741051
0271,RHO,0.0007740615
0272,UMD,0.0007729334
0273,TIJ,0.0007714932
0274,BEY,0.0007706788
0275,IBZ,0.0007697242
0276,SXM,0.0007675770
0277,IKA,0.0007653607
0278,SON,0.0007643005
0279,LUX,0.0007611854
0280,AUS,0.0007589489
0281,YFB,0.0007584052
0282,TNR,0.0007567849
0283,ACE,0.0007551026
0284,YKS,0.0007525613
0285,HYD,0.0007522096
0286,ACC,0.0007512282
0287,SYZ,0.0007470871
0288,ADB,0.0007406192
0289,OKA,0.0007379681
0290,CPT,0.0007347848
0291,TSE,0.0007342474
0292,KJA,0.0007310889
0293,HET,0.0007170513
0294,TOS,0.0007101573
0295,SAL,0.0007101063
0296,MSY,0.0007085247
0297,YEV,0.0007085116
0298,KRK,0.0007054027
0299,MTY,0.0007048094
0300,PUS,0.0007042731
0301,RDU,0.0007041642
0302,MFM,0.0007040079
0303,JJU,0.0007022037
0304,HAV,0.0006997501
0305,BOD,0.0006984457
0306,LBA,0.0006979402
0307,DWC,0.0006937540
0308,GYD,0.0006921882
0309,TNA,0.0006917168
0310,PIE,0.0006913834
0311,NAP,0.0006904820
0312,CTA,0.0006886547
0313,RAK,0.0006875954
0314,GRO,0.0006875215
0315,FUE,0.0006871574
0316,HAJ,0.0006844546
0317,HKT,0.0006815189
0318,GDN,0.0006778259
0319,OAK,0.0006777809
0320,KHH,0.0006765013
0321,SUV,0.0006744934
0322,VNO,0.0006713676
0323,SYX,0.0006710275
0324,MLE,0.0006692933
0325,LPL,0.0006689541
0326,CNX,0.0006688192
0327,KWL,0.0006644798
0328,PIT,0.0006643630
0329,SAT,0.0006632554
0330,CLO,0.0006616199
0331,CIA,0.0006601914
0332,NCL,0.0006591799
0333,HHN,0.0006580113
0334,DKR,0.0006568934
0335,NGB,0.0006537713
0336,YOW,0.0006511530
0337,MSQ,0.0006491062
0338,AGM,0.0006437467
0339,IND,0.0006415883
0340,KHN,0.0006407950
0341,GYE,0.0006407446
0342,LHE,0.0006381777
0343,MEM,0.0006275224
0344,SJW,0.0006273720
0345,TIP,0.0006270445
0346,TRD,0.0006266380
0347,ITM,0.0006261095
0348,DAR,0.0006212055
0349,RAR,0.0006198600
0350,BEL,0.0006181301
0351,HAK,0.0006151033
0352,BTH,0.0006145528
0353,LCY,0.0006145369
0354,RSW,0.0006079239
0355,LHW,0.0006073374
0356,GOH,0.0006073351
0357,KRT,0.0006066936
0358,ULN,0.0006066899
0359,SJC,0.0006064179
0360,YQT,0.0006063981
0361,KHV,0.0006062599
0362,KRR,0.0006059849
0363,MRU,0.0006040005
0364,SDQ,0.0006032138
0365,BZE,0.0006000797
0366,YVP,0.0005993826
0367,LUN,0.0005979991
0368,YRT,0.0005972028
0369,SMF,0.0005963251
0370,SDU,0.0005947259
0371,KEF,0.0005941770
0372,BRE,0.0005939257
0373,DYU,0.0005937711
0374,CMH,0.0005906350
0375,SAH,0.0005903725
0376,DBV,0.0005881974
0377,EVN,0.0005822741
0378,SOF,0.0005801171
0379,HFE,0.0005793364
0380,FYU,0.0005770950
0381,BLL,0.0005769331
0382,SVG,0.0005763109
0383,YYR,0.0005727374
0384,OGG,0.0005717390
0385,VTE,0.0005697834
0386,DJJ,0.0005638899
0387,WNZ,0.0005629958
0388,DUT,0.0005628979
0389,MKE,0.0005612319
0390,AUA,0.0005590516
0391,PLU,0.0005574306
0392,PMO,0.0005541433
0393,MDC,0.0005511982
0394,BRI,0.0005507022
0395,TFF,0.0005494546
0396,YQB,0.0005488203
0397,TDD,0.0005468725
0398,ABZ,0.0005441364
0399,FOR,0.0005413303
0400,GOT,0.0005400882
0401,MPM,0.0005392045
0402,EBB,0.0005369646
0403,BOO,0.0005333404
0404,INC,0.0005328621
0405,SPU,0.0005308504
0406,CHQ,0.0005301864
0407,PEN,0.0005301727
0408,SVQ,0.0005297090
0409,BIL,0.0005295458
0410,MYR,0.0005293335
0411,CAG,0.0005289584
0412,ABQ,0.0005256525
0413,NRN,0.0005234260
0414,CFU,0.0005230894
0415,MDE,0.0005215553
0416,TLL,0.0005201228
0417,YRL,0.0005172377
0418,SFJ,0.0005152574
0419,TSF,0.0005148308
0420,RKV,0.0005147741
0421,YZV,0.0005146200
0422,ZUH,0.0005131740
0423,PLS,0.0005119493
0424,GUM,0.0005104306
0425,ORN,0.0005100102
0426,BIO,0.0005097362
0427,PMV,0.0005068180
0428,CGQ,0.0005011173
0429,GUA,0.0004991760
0430,MBJ,0.0004983083
0431,REC,0.0004959314
0432,ISA,0.0004958219
0433,KOI,0.0004892991
0434,BDL,0.0004888952
0435,EOH,0.0004881308
0436,GZO,0.0004880076
0437,JAX,0.0004879410
0438,DLA,0.0004872603
0439,JNN,0.0004868257
0440,LJG,0.0004866775
0441,LAE,0.0004853596
0442,POS,0.0004845544
0443,KCH,0.0004844964
0444,COK,0.0004840441
0445,LIN,0.0004836876
0446,REP,0.0004799630
0447,RYG,0.0004794734
0448,BPN,0.0004783911
0449,TSV,0.0004748105
0450,KGL,0.0004727921
0451,ANU,0.0004717627
0452,AMQ,0.0004715290
0453,CUR,0.0004703181
0454,HGU,0.0004696862
0455,RGI,0.0004674126
0456,WDH,0.0004672053
0457,SJD,0.0004670549
0458,BRW,0.0004661399
0459,DAD,0.0004659954
0460,DAL,0.0004641296
0461,COO,0.0004634050
0462,GCM,0.0004613229
0463,CDB,0.0004609651
0464,PDL,0.0004602619
0465,KUS,0.0004591526
0466,PBI,0.0004588619
0467,BMA,0.0004580313
0468,ZAG,0.0004573855
0469,BFI,0.0004540238
0470,SNA,0.0004528070
0471,PVR,0.0004520179
0472,HRE,0.0004511215
0473,OLB,0.0004509166
0474,AJA,0.0004503342
0475,MCG,0.0004499073
0476,TAH,0.0004477658
0477,DUR,0.0004477637
0478,FRU,0.0004473069
0479,FNC,0.0004464145
0480,LIL,0.0004457197
0481,RMQ,0.0004444913
0482,OOL,0.0004429921
0483,AHO,0.0004426820
0484,KGS,0.0004418020
0485,ABJ,0.0004403165
0486,RAB,0.0004394781
0487,TRF,0.0004387844
0488,DTM,0.0004380051
0489,ALB,0.0004366057
0490,BGI,0.0004364906
0491,RAI,0.0004356866
0492,FLN,0.0004356123
0493,OKC,0.0004347904
0494,CBB,0.0004344131
0495,SDF,0.0004339516
0496,TBS,0.0004330328
0497,COR,0.0004324265
0498,STT,0.0004316963
0499,NUE,0.0004310116
0500,ERS,0.0004303149
0501,JER,0.0004302973
0502,NYO,0.0004295616
0503,TJM,0.0004289674
0504,RTM,0.0004286681
0505,TRN,0.0004272217
0506,WRO,0.0004249901
0507,UUS,0.0004205611
0508,LBV,0.0004199359
0509,SZB,0.0004196716
0510,VVI,0.0004186352
0511,XNN,0.0004179354
0512,ORK,0.0004174371
0513,TPS,0.0004170043
0514,TSA,0.0004165528
0515,UNK,0.0004160460
0516,SWA,0.0004121963
0517,SCC,0.0004115038
0518,RUN,0.0004111532
0519,PEW,0.0004099895
0520,YKQ,0.0004098444
0521,KIN,0.0004087045
0522,IFN,0.0004085002
0523,GAL,0.0004083507
0524,DLM,0.0004078432
0525,KZN,0.0004042810
0526,YTZ,0.0003993605
0527,GAU,0.0003981860
0528,YNT,0.0003974842
0529,GRR,0.0003971840
0530,HFT,0.0003967628
0531,KTW,0.0003955354
0532,LEJ,0.0003948320
0533,SXB,0.0003943794
0534,JOG,0.0003939188
0535,JAV,0.0003931766
0536,MUR,0.0003922940
0537,ROV,0.0003897928
0538,KIV,0.0003881137
0539,HRG,0.0003873158
0540,NAQ,0.0003872800
0541,HBE,0.0003870421
0542,NUS,0.0003868904
0543,LIR,0.0003861538
0544,NOU,0.0003859607
0545,LBD,0.0003854995
0546,BHM,0.0003850243
0547,LXA,0.0003836182
0548,GSP,0.0003829006
0549,GMP,0.0003824986
0550,PGD,0.0003823097
0551,YTL,0.0003819558
0552,RAO,0.0003814435
0553,YYT,0.0003813258
0554,AMD,0.0003810519
0555,ADQ,0.0003807384
0556,OMA,0.0003804440
0557,LIF,0.0003801424
0558,FLR,0.0003798001
0559,PFO,0.0003797896
0560,TRV,0.0003795989
0561,BFS,0.0003792621
0562,YGW,0.0003780159
0563,PSP,0.0003777188
0564,LET,0.0003775282
0565,BUF,0.0003772832
0566,SCO,0.0003772535
0567,CGA,0.0003765286
0568,SNN,0.0003763181
0569,YWK,0.0003759160
0570,UFA,0.0003758396
0571,NSI,0.0003755471
0572,SOU,0.0003736228
0573,MAG,0.0003729278
0574,KSM,0.0003722250
0575,SOQ,0.0003713241
0576,AWZ,0.0003711610
0577,JRO,0.0003708310
0578,IEV,0.0003697037
0579,BND,0.0003696539
0580,BZV,0.0003687498
0581,JHB,0.0003679533
0582,RIC,0.0003677001
0583,ORF,0.0003675733
0584,KUF,0.0003673712
0585,CGR,0.0003670337
0586,WAA,0.0003667007
0587,UAK,0.0003650350
0588,HPN,0.0003640665
0589,TUL,0.0003639933
0590,NBE,0.0003636560
0591,JIB,0.0003602677
0592,CHS,0.0003595370
0593,VVO,0.0003589232
0594,BIA,0.0003583561
0595,MDZ,0.0003573074
0596,WMI,0.0003572233
0597,GYN,0.0003571626
0598,KWN,0.0003569602
0599,SPR,0.0003568350
0600,SAP,0.0003549215
0601,SKP,0.0003545694
0602,BOI,0.0003534107
0603,PLJ,0.0003530604
0604,EBL,0.0003523685
0605,MAH,0.0003514871
0606,YVQ,0.0003512992
0607,MVD,0.0003511867
0608,MUA,0.0003509534
0609,CCJ,0.0003506503
0610,DJE,0.0003492249
0611,AGA,0.0003490938
0612,BKO,0.0003480376
0613,ZAD,0.0003464733
0614,PNH,0.0003461419
0615,MSA,0.0003446782
0616,DSM,0.0003440548
0617,NGS,0.0003435607
0618,AER,0.0003433420
0619,TYS,0.0003423791
0620,ROC,0.0003421466
0621,LJU,0.0003414973
0622,XBE,0.0003400692
0623,ADE,0.0003400274
0624,WUX,0.0003395480
0625,DSN,0.0003394287
0626,ZGS,0.0003393344
0627,SDJ,0.0003391861
0628,LOP,0.0003388717
0629,EXT,0.0003377227
0630,TFN,0.0003371833
0631,YTH,0.0003371078
0632,DVO,0.0003344363
0633,LFW,0.0003343416
0634,VVC,0.0003325519
0635,TER,0.0003301752
0636,CRD,0.0003301559
0637,RBY,0.0003301519
0638,BWN,0.0003300552
0639,LST,0.0003293879
0640,YLW,0.0003289921
0641,DZA,0.0003287505
0642,HMO,0.0003275146
0643,SSH,0.0003272829
0644,OUA,0.0003247609
0645,VRN,0.0003241889
0646,ASU,0.0003241134
0647,JJN,0.0003238416
0648,XUZ,0.0003234527
0649,TAL,0.0003225958
0650,WSX,0.0003223812
0651,YCU,0.0003220598
0652,PVD,0.0003210975
0653,TUS,0.0003210265
0654,LIT,0.0003206665
0655,CWL,0.0003206311
0656,ONT,0.0003204499
0657,CZX,0.0003200211
0658,PNP,0.0003194328
0659,VEE,0.0003194284
0660,TXN,0.0003179074
0661,REL,0.0003171387
0662,KPN,0.0003170573
0663,ASP,0.0003164456
0664,GSE,0.0003157815
0665,DAY,0.0003151972
0666,LUV,0.0003149742
0667,SYR,0.0003137423
0668,BOB,0.0003130065
0669,MRV,0.0003116460
0670,MDK,0.0003112843
0671,ADZ,0.0003110868
0672,YPX,0.0003108669
0673,PMC,0.0003104688
0674,BJV,0.0003099215
0675,TTN,0.0003097868
0676,YAT,0.0003094446
0677,BAV,0.0003091669
0678,MPL,0.0003090878
0679,PTP,0.0003082317
0680,SCQ,0.0003080195
0681,KLG,0.0003076633
0682,YXS,0.0003075959
0683,TMM,0.0003074606
0684,FBM,0.0003048925
0685,YHR,0.0003048425
0686,PAP,0.0003047402
0687,FMM,0.0003047153
0688,PZO,0.0003044788
0689,YIF,0.0003036930
0690,AUQ,0.0003032816
0691,NHV,0.0003032816
0692,EMK,0.0003031680
0693,PIK,0.0003025100
0694,KBL,0.0003024863
0695,UDI,0.0003022305
0696,VPE,0.0003021639
0697,MGQ,0.0003021514
0698,MKW,0.0003012628
0699,BTT,0.0003010963
0700,GBE,0.0003010621
0701,OMS,0.0003008882
0702,SUF,0.0003008628
0703,YFH,0.0003002599
0704,STM,0.0002999763
0705,RNO,0.0002997833
0706,THU,0.0002992274
0707,HYL,0.0002980015
0708,SZG,0.0002979112
0709,PQS,0.0002964753
0710,CCV,0.0002963795
0711,PNQ,0.0002963167
0712,ZSJ,0.0002959619
0713,TGU,0.0002955853
0714,MNG,0.0002947880
0715,MDL,0.0002947558
0716,LRE,0.0002945513
0717,VIX,0.0002933990
0718,SPB,0.0002933412
0719,BLD,0.0002933412
0720,SSB,0.0002933412
0721,CKX,0.0002933412
0722,TKJ,0.0002933412
0723,GCW,0.0002933412
0724,AZI,0.0002933355
0725,DHB,0.0002929854
0726,XNA,0.0002921285
0727,RFP,0.0002894964
0728,KTS,0.0002894185
0729,TJA,0.0002888950
0730,MPA,0.0002885630
0731,NDU,0.0002885630
0732,GOJ,0.0002878555
0733,GSO,0.0002876594
0734,YHI,0.0002873426
0735,YCB,0.0002869259
0736,BRC,0.0002854040
0737,BHD,0.0002853266
0738,GUR,0.0002851921
0739,YTS,0.0002845075
0740,MMX,0.0002829318
0741,AKP,0.0002826567
0742,RSH,0.0002820187
0743,KOA,0.0002818050
0744,BDJ,0.0002813995
0745,KUN,0.0002810816
0746,EGM,0.0002810747
0747,SRG,0.0002810699
0748,XMH,0.0002809523
0749,MIG,0.0002809521
0750,BUR,0.0002807297
0751,BME,0.0002796136
0752,CZL,0.0002795455
0753,TIA,0.0002794914
0754,KOJ,0.0002788456
0755,OSS,0.0002783819
0756,YRB,0.0002783084
0757,MGF,0.0002779233
0758,POZ,0.0002778180
0759,KOE,0.0002775769
0760,SCW,0.0002766512
0761,PHO,0.0002760779
0762,APL,0.0002753210
0763,BDO,0.0002748247
0764,PNR,0.0002748199
0765,YGT,0.0002747623
0766,BHY,0.0002742790
0767,YNA,0.0002742157
0768,CEK,0.0002740337
0769,LEX,0.0002738930
0770,VDS,0.0002737392
0771,ZKE,0.0002735425
0772,ILO,0.0002732467
0773,RGL,0.0002726967
0774,NAT,0.0002724075
0775,BDS,0.0002723360
0776,DRS,0.0002721463
0777,INB,0.0002719841
0778,CTL,0.0002718908
0779,MAS,0.0002718687
0780,NLA,0.0002715916
0781,USM,0.0002714044
0782,BTS,0.0002713089
0783,WJR,0.0002702812
0784,TBZ,0.0002698695
0785,GCI,0.0002695399
0786,FKB,0.0002693876
0787,CMA,0.0002688354
0788,YPH,0.0002687468
0789,CLJ,0.0002687124
0790,CYF,0.0002685089
0791,BEN,0.0002683742
0792,TZA,0.0002682494
0793,NDJ,0.0002680293
0794,ACK,0.0002680262
0795,KIH,0.0002679239
0796,YZS,0.0002674297
0797,TOH,0.0002673429
0798,MTV,0.0002673429
0799,YKU,0.0002673243
0800,GOI,0.0002671301
0801,GIU,0.0002663189
0802,ARH,0.0002657914
0803,GOA,0.0002655352
0804,KOT,0.0002643363
0805,YIW,0.0002642895
0806,FEZ,0.0002639857
0807,PRN,0.0002639687
0808,BOC,0.0002638704
0809,UVE,0.0002637024
0810,TGJ,0.0002637024
0811,RCE,0.0002634641
0812,ICT,0.0002631381
0813,YHO,0.0002630145
0814,YVO,0.0002621960
0815,SAV,0.0002615116
0816,LIH,0.0002611409
0817,ZGU,0.0002604610
0818,SLH,0.0002604610
0819,WBB,0.0002604220
0820,KGX,0.0002602879
0821,ANV,0.0002602879
0822,TET,0.0002600715
0823,PKN,0.0002600012
0824,KKH,0.0002597888
0825,YIH,0.0002596961
0826,LYI,0.0002594737
0827,MHT,0.0002590495
0828,FNA,0.0002586169
0829,ANF,0.0002584016
0830,SRZ,0.0002578743
0831,ONG,0.0002569889
0832,MDT,0.0002569020
0833,SGC,0.0002567884
0834,LGB,0.0002566798
0835,BGW,0.0002563244
0836,ZQN,0.0002562069
0837,SSG,0.0002559069
0838,AKI,0.0002557185
0839,KKI,0.0002557185
0840,LWO,0.0002556038
0841,TWB,0.0002553083
0842,YKG,0.0002552460
0843,SEZ,0.0002552408
0844,ELP,0.0002546563
0845,CUZ,0.0002543144
0846,AQP,0.0002543144
0847,PMR,0.0002541887
0848,SLZ,0.0002530245
0849,YMN,0.0002529100
0850,ZRJ,0.0002527606
0851,MJV,0.0002523538
0852,PUQ,0.0002522505
0853,CID,0.0002515188
0854,FAT,0.0002507626
0855,ZNZ,0.0002505427
0856,IRA,0.0002505006
0857,AJU,0.0002501905
0858,BOH,0.0002501214
0859,MAR,0.0002500710
0860,SDR,0.0002498995
0861,LYG,0.0002497303
0862,HSL,0.0002496637
0863,CNP,0.0002496409
0864,YZG,0.0002495925
0865,CIK,0.0002495200
0866,ZEL,0.0002493267
0867,COS,0.0002493225
0868,MOU,0.0002491010
0869,NZH,0.0002490926
0870,PNI,0.0002490546
0871,HCR,0.0002486220
0872,SHX,0.0002486220
0873,YMO,0.0002484561
0874,UUD,0.0002484177
0875,ZHA,0.0002473489
0876,YYY,0.0002465299
0877,LDB,0.0002463418
0878,ZAH,0.0002461074
0879,IPA,0.0002459620
0880,LKO,0.0002457244
0881,FRD,0.0002454183
0882,CUU,0.0002452904
0883,FDF,0.0002450151
0884,HGA,0.0002449804
0885,SKK,0.0002449454
0886,BEW,0.0002444143
0887,CCP,0.0002444081
0888,KWK,0.0002441698
0889,MGZ,0.0002440056
0890,GLV,0.0002439879
0891,KIJ,0.0002439773
0892,OGX,0.0002438716
0893,YYQ,0.0002437542
0894,YWB,0.0002434958
0895,NUP,0.0002433846
0896,LZH,0.0002428162
0897,KWA,0.0002426425
0898,DMD,0.0002424882
0899,SLY,0.0002424607
0900,TLT,0.0002424399
0901,KWT,0.0002424399
0902,HUH,0.0002423750
0903,PWM,0.0002423373
0904,RIA,0.0002418853
0905,SCM,0.0002417327
0906,UAH,0.0002412500
0907,UAP,0.0002412500
0908,YTY,0.0002404978
0909,ZYI,0.0002402738
0910,YIK,0.0002402486
0911,JUU,0.0002397520
0912,IOT,0.0002397520
0913,IKE,0.0002397520
0914,SAE,0.0002397520
0915,LLW,0.0002395375
0916,FKQ,0.0002391598
0917,KKA,0.0002390725
0918,MUB,0.0002390161
0919,SID,0.0002387715
0920,LNE,0.0002383846
0921,MBA,0.0002382645
0922,YQR,0.0002382562
0923,YXE,0.0002382562
0924,THE,0.0002381997
0925,YCO,0.0002380317
0926,LKE,0.0002379689
0927,UET,0.0002377664
0928,MSN,0.0002375199
0929,ATT,0.0002371980
0930,KLW,0.0002371211
0931,ALF,0.0002369960
0932,CLM,0.0002369613
0933,ESD,0.0002369613
0934,FAR,0.0002369294
0935,EDL,0.0002369224
0936,CTG,0.0002367819
0937,YMM,0.0002367454
0938,BTI,0.0002365895
0939,HLD,0.0002365756
0940,BVI,0.0002362762
0941,MAJ,0.0002360790
0942,YPJ,0.0002360454
0943,EEK,0.0002348983
0944,RUR,0.0002348225
0945,KUK,0.0002345687
0946,REU,0.0002345446
0947,YSO,0.0002344368
0948,AHE,0.0002338028
0949,GEG,0.0002337663
0950,MLH,0.0002335978
0951,MLI,0.0002334653
0952,TLC,0.0002334383
0953,YWH,0.0002329968
0954,CBR,0.0002329269
0955,NIM,0.0002328880
0956,LLU,0.0002327192
0957,QUW,0.0002327192
0958,HPB,0.0002326253
0959,VAK,0.0002326253
0960,FWA,0.0002324984
0961,VER,0.0002323350
0962,AHB,0.0002321544
0963,IOS,0.0002320849
0964,HTA,0.0002320539
0965,PIA,0.0002318445
0966,BCV,0.0002316810
0967,RTB,0.0002314712
0968,IGU,0.0002312303
0969,SJJ,0.0002312292
0970,UVF,0.0002307399
0971,YFA,0.0002306526
0972,MEH,0.0002305501
0973,BJX,0.0002304528
0974,OBU,0.0002302920
0975,CAK,0.0002301879
0976,LCE,0.0002298007
0977,WWK,0.0002295659
0978,MZT,0.0002292217
0979,YNZ,0.0002292005
0980,WNR,0.0002290456
0981,CGP,0.0002283946
0982,YXP,0.0002283626
0983,HIA,0.0002283196
0984,RAS,0.0002282376
0985,YHD,0.0002281740
0986,PNS,0.0002281688
0987,JEG,0.0002281314
0988,VTZ,0.0002280775
0989,XRY,0.0002276427
0990,ASB,0.0002272345
0991,SRE,0.0002269235
0992,YAB,0.0002267467
0993,LEI,0.0002261988
0994,UKB,0.0002259354
0995,PHE,0.0002259132
0996,DYG,0.0002256849
